city,state,YearMonth,AT,BP,PM2.5,RF,VWS,WD,WS,latitude,longitude
Chittoor,Andhra Pradesh,2023-02,23.86013600302232,762.3856280855738,47.62330684827839,0.0,-0.4240876463921422,129.184858330185,2.8777861730260654,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-03,25.101275372124565,729.1468234100134,28.22758316361158,0.0,-0.4987516914749658,137.01792286874155,3.0691948579161026,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-04,26.884431245500362,721.9409873417761,47.71182865370774,0.0,-0.2524622030237585,147.03361771058346,3.006033117350616,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-05,28.48260334813802,716.9818858899937,45.98875770020535,0.000133242227536727,0.417881790228904,170.84072770755068,2.8181961052271935,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-06,29.84084998183799,710.4268137254928,23.318263712313833,0.00505630221576462,1.2230112604431527,208.41983654195403,3.2216454776607346,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-07,28.888813046402102,711.8053477643773,14.37701997968159,0.0,1.4475285810356415,214.09408204438463,3.3034431741761967,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-08,29.289786440678004,716.2997694915289,23.94230142566194,0.003810169491525425,0.719600000000001,186.96754237288147,2.73886101694915,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-09,28.20865156017838,713.8660992907837,17.167415143603222,0.014342496285289745,1.109795690936107,196.45800891530456,2.924275631500743,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-10,27.65232391848412,727.8467393636075,62.334629496402705,0.008198069360028613,0.2002073650339625,149.77293171254914,2.6800500536288814,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-11,26.360842676311055,731.4681229656462,32.65990044247774,0.0,-0.2768282097649198,118.0887685621151,2.644987341772156,13.20488,79.097889
Chittoor,Andhra Pradesh,2023-12,25.30072854640982,733.214266199654,42.97500875656741,0.0,-0.12400000000000039,125.43522241681266,2.702056042031526,13.20488,79.097889
Damoh,Madhya Pradesh,2023-01,,,32.047835937500004,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-02,,,22.09128272251308,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-03,,,17.56613472333599,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-04,,,13.774855106888364,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-05,,,11.248132530120477,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-06,,,9.074750911300129,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-07,,,5.31839051998585,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-08,,,9.812195865808208,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-09,,,9.558425138632165,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-10,,,19.802223728813686,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-11,,,29.372013546798073,,,,,23.81748678,79.446246
Damoh,Madhya Pradesh,2023-12,,,22.027107862504934,,,,,23.81748678,79.446246
Davanagere,Karnataka,2023-01,,,38.163452314556594,,,,,14.4758,75.9052
Davanagere,Karnataka,2023-02,27.929999999999996,,46.995385239253864,,,138.47166666666666,1.915,14.4758,75.9052
Davanagere,Karnataka,2023-03,27.25421148036254,,34.63243664717349,,,224.70247734139002,0.9124169184290022,14.4758,75.9052
Davanagere,Karnataka,2023-04,29.01671171171172,,28.011103507271184,,,238.82572072072125,0.9352129402129367,14.4758,75.9052
Davanagere,Karnataka,2023-05,28.25996821613026,,19.900045473336082,,,269.51295192689696,0.9217282479141842,14.4758,75.9052
Davanagere,Karnataka,2023-06,26.583698630137018,,16.160676974509,,,284.250481409002,1.2342191780821916,14.4758,75.9052
Davanagere,Karnataka,2023-07,23.55017084282464,,10.118155179529502,,,284.37188306757815,1.124711465451784,14.4758,75.9052
Davanagere,Karnataka,2023-08,25.020803030303014,,11.254124236252526,,,284.4013787878784,0.9718030303030276,14.4758,75.9052
Davanagere,Karnataka,2023-09,24.63177168576108,,11.31455308434745,,,279.7502577741414,0.9531833060556466,14.4758,75.9052
Davanagere,Karnataka,2023-10,26.568893823173234,,41.938288324066704,,,184.55553088413424,0.6934154218813016,14.4758,75.9052
Davanagere,Karnataka,2023-11,25.410372199012514,,41.49177469135805,,,150.6320091150782,0.8261184960121517,14.4758,75.9052
Davanagere,Karnataka,2023-12,24.466959826275854,,39.85778181818184,,,147.23675714802735,0.9134129569308693,14.4758,75.9052
Dehradun,Uttarakhand,2023-01,12.807578378378388,803.4271135135077,70.86884875846499,,,209.69156756756723,1.364994594594591,30.269444,78.044167
Dehradun,Uttarakhand,2023-02,17.01100887435773,800.2501774871528,31.352113402061864,,,193.40619803830018,1.193432975245197,30.269444,78.044167
Dehradun,Uttarakhand,2023-03,19.44997647849464,801.0763272849512,20.329645509790655,,,197.10077620967783,1.5964516129032225,30.269444,78.044167
Dehradun,Uttarakhand,2023-04,23.455535396656074,801.7685663464994,30.009464544138936,,,198.3153006047668,1.7043258626823277,30.269444,78.044167
Dehradun,Uttarakhand,2023-05,25.520910641200544,800.6611903137863,32.75652173913046,,,186.76368008185523,1.6386323328785728,30.269444,78.044167
Dehradun,Uttarakhand,2023-06,27.93455469845719,800.7816199158365,22.946208943411193,,,197.3062166900422,1.6176788218793992,30.269444,78.044167
Dehradun,Uttarakhand,2023-07,27.047521079258008,802.342445193917,12.727471590909056,,,183.96874648679005,1.3577346824058534,30.269444,78.044167
Dehradun,Uttarakhand,2023-08,26.924215918045697,801.0735342789338,21.90886326194396,,,181.9329984239558,1.3425413711584084,30.269444,78.044167
Dehradun,Uttarakhand,2023-09,26.965696442089357,801.0815859197347,28.5300369198313,,,186.2939288417864,1.0978274034821924,30.269444,78.044167
Dehradun,Uttarakhand,2023-10,22.17736733001657,800.6521766169109,37.705804471722985,,,188.7843656716414,1.0916873963515767,30.269444,78.044167
Dehradun,Uttarakhand,2023-11,17.757391304347806,800.3053982608812,55.08275539568339,,,183.99913043478222,0.8317460869565222,30.269444,78.044167
Dehradun,Uttarakhand,2023-12,13.895111111111104,800.4131313131352,68.2191319207108,,,186.7953501683503,0.7869494949494916,30.269444,78.044167
Delhi,Delhi,2023-01,12.93742819831708,972.8097927985681,178.3548121901552,0.0073076238768508646,0.04549846092696346,180.03298285493068,0.9381157691622349,28.63932476756757,77.17891518378379
